,Accuracy,ChoseViolation,Item,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
34294,0.35,1,310,0,800,d,A2SYRFPPV9WDEG,*DF,Devoicing,101,Voicing,0
34295,0.35,1,349,0,804,ng,A2SYRFPPV9WDEG,*NF,Devoicing,102,Place,0
34296,0.35,0,322,0,713,b,A2SYRFPPV9WDEG,*DF,Devoicing,103,Voicing,1
34297,0.35,1,346,0,697,n,A2SYRFPPV9WDEG,*NF,Devoicing,104,Place,0
34298,0.35,0,298,0,765,d,A2SYRFPPV9WDEG,*DF,Devoicing,105,Voicing,1
34299,0.35,0,361,0,1749,ng,A2SYRFPPV9WDEG,*NF,Devoicing,106,Place,0
34301,0.35,1,370,0,1136,n,A2SYRFPPV9WDEG,*NF,Devoicing,108,Place,1
34303,0.35,0,403,0,830,ng,A2SYRFPPV9WDEG,*NF,Devoicing,110,Place,1
34304,0.35,0,325,0,789,b,A2SYRFPPV9WDEG,*DF,Devoicing,111,Voicing,1
34306,0.35,0,301,0,1548,d,A2SYRFPPV9WDEG,*DF,Devoicing,113,Voicing,1
34307,0.35,1,382,0,602,n,A2SYRFPPV9WDEG,*NF,Devoicing,114,Place,0
34308,0.35,0,286,0,614,d,A2SYRFPPV9WDEG,*DF,Devoicing,115,Voicing,1
34310,0.35,1,340,0,650,b,A2SYRFPPV9WDEG,*DF,Devoicing,117,Voicing,0
34636,0.95,1,358,0,3080,n,A2T2EFKEXL11M9,*NF,Devoicing,70,Place,0
34637,0.95,1,313,0,2745,d,A2T2EFKEXL11M9,*DF,Devoicing,71,Voicing,1
34638,0.95,1,379,0,2146,ng,A2T2EFKEXL11M9,*NF,Devoicing,72,Place,0
34639,0.95,1,295,0,2050,d,A2T2EFKEXL11M9,*DF,Devoicing,73,Voicing,0
34640,0.95,1,355,0,2741,ng,A2T2EFKEXL11M9,*NF,Devoicing,74,Place,0
34641,0.95,1,331,0,4048,b,A2T2EFKEXL11M9,*DF,Devoicing,75,Voicing,0
34642,0.95,1,385,0,1930,ng,A2T2EFKEXL11M9,*NF,Devoicing,76,Place,0
34643,0.95,1,343,0,1699,b,A2T2EFKEXL11M9,*DF,Devoicing,77,Voicing,0
34644,0.95,1,397,0,2437,ng,A2T2EFKEXL11M9,*NF,Devoicing,78,Place,1
34645,0.95,1,292,0,2215,d,A2T2EFKEXL11M9,*DF,Devoicing,79,Voicing,1
34646,0.95,0,370,0,1365,n,A2T2EFKEXL11M9,*NF,Devoicing,80,Place,1
34647,0.95,1,310,0,1749,d,A2T2EFKEXL11M9,*DF,Devoicing,81,Voicing,1
34648,0.95,1,364,0,1696,n,A2T2EFKEXL11M9,*NF,Devoicing,82,Place,1
34649,0.95,1,340,0,1889,b,A2T2EFKEXL11M9,*DF,Devoicing,83,Voicing,1
34651,0.95,1,286,0,1878,d,A2T2EFKEXL11M9,*DF,Devoicing,85,Voicing,1
34653,0.95,1,328,0,1847,b,A2T2EFKEXL11M9,*DF,Devoicing,87,Voicing,0
34654,0.95,1,373,0,2595,ng,A2T2EFKEXL11M9,*NF,Devoicing,88,Place,0
34655,0.95,1,322,0,1771,b,A2T2EFKEXL11M9,*DF,Devoicing,89,Voicing,0
34656,0.95,1,346,0,2066,n,A2T2EFKEXL11M9,*NF,Devoicing,90,Place,1
34658,0.95,1,349,0,2449,ng,A2T2EFKEXL11M9,*NF,Devoicing,92,Place,0
34659,0.95,0,337,0,1942,b,A2T2EFKEXL11M9,*DF,Devoicing,93,Voicing,0
